Time,L_toes,,,L_foot,,,L_knee,,,L_hip,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,216.224,-1272.14,33.6215,366.546,-1244.68,110.88,342.221,-1233.11,532.111,309.702,-1274.51,980.397
0.01,216.226,-1272.22,33.705,366.542,-1244.59,110.816,342.246,-1233.07,532.068,309.739,-1274.51,980.416
0.02,216.221,-1272.21,33.6832,366.567,-1244.64,110.895,342.266,-1233.04,532.086,309.754,-1274.55,980.434
0.03,216.24,-1272.18,33.6516,366.562,-1244.64,110.87,342.257,-1233.11,532.112,309.773,-1274.51,980.417
0.04,216.226,-1272.22,33.706,366.567,-1244.64,110.895,342.281,-1233.07,532.11,309.769,-1274.51,980.399
0.05,216.221,-1272.22,33.6821,366.572,-1244.64,110.918,342.281,-1233.07,532.11,309.792,-1274.48,980.4
0.06,216.257,-1272.21,33.6817,366.562,-1244.64,110.87,342.286,-1233.08,532.131,309.84,-1274.52,980.383
0.07,216.237,-1272.26,33.7111,366.562,-1244.64,110.87,342.277,-1233.07,532.088,309.855,-1274.55,980.436
0.08,216.243,-1272.25,33.7382,366.561,-1244.64,110.914,342.321,-1233.08,532.091,309.874,-1274.52,980.419
0.09,216.226,-1272.22,33.705,366.567,-1244.64,110.894,342.281,-1233.07,532.11,309.911,-1274.52,980.438
0.1,216.254,-1272.29,33.7423,366.572,-1244.64,110.919,342.316,-1233.08,532.11,309.945,-1274.52,980.438
0.11,216.226,-1272.22,33.661,366.567,-1244.64,110.895,342.341,-1233.04,532.068,309.968,-1274.49,980.404
0.12,216.237,-1272.25,33.7133,366.567,-1244.64,110.895,342.337,-1233.04,532.087,309.997,-1274.49,980.422
0.13,216.232,-1272.25,33.7333,366.583,-1244.6,110.842,342.352,-1233.08,532.111,309.997,-1274.49,980.422
0.14,216.243,-1272.26,33.7361,366.561,-1244.63,110.915,342.35,-1233.05,532.11,310.057,-1274.46,980.407
0.15,216.237,-1272.25,33.7122,366.593,-1244.6,110.889,342.381,-1233.05,532.09,310.069,-1274.5,980.406
0.16,216.249,-1272.26,33.67,366.588,-1244.6,110.865,342.385,-1233.05,532.111,310.091,-1274.53,980.425
0.17,216.232,-1272.25,33.7322,366.613,-1244.64,110.945,342.416,-1233.05,532.131,310.129,-1274.47,980.427
0.18,216.254,-1272.29,33.7423,366.608,-1244.64,110.92,342.436,-1233.01,532.108,310.143,-1274.5,980.444
0.19,216.248,-1272.26,33.716,366.614,-1244.56,110.861,342.441,-1233.01,532.089,310.181,-1274.5,980.463
0.2,216.237,-1272.26,33.7111,366.588,-1244.6,110.866,342.461,-1232.97,532.065,310.196,-1274.47,980.428
0.21,216.268,-1272.22,33.6835,366.609,-1244.56,110.88,342.481,-1233.01,532.111,310.233,-1274.47,980.447
0.22,216.254,-1272.3,33.6962,366.614,-1244.56,110.861,342.491,-1233.05,532.113,310.233,-1274.47,980.447
0.23,216.243,-1272.26,33.6921,366.609,-1244.56,110.88,342.516,-1233.02,532.111,310.282,-1274.44,980.448
0.24,216.249,-1272.26,33.669,366.588,-1244.6,110.865,342.516,-1233.02,532.111,310.323,-1274.44,980.414
0.25,216.26,-1272.29,33.7662,366.614,-1244.56,110.861,342.536,-1232.98,532.088,310.361,-1274.45,980.433
