time,knee_angle_l
0,73.75241533
0.0166667,72.22340342
0.0333333,69.22286351
0.05,66.77007631
0.0666667,64.36620418
0.0833333,62.27415092
0.1,60.4573436
0.1166667,58.34561763
0.1333333,56.2151277
0.15,53.97446253
0.1666667,51.70408989
0.1833333,49.54605563
0.2,47.78224057
0.2166667,45.97228663
0.2333333,44.04419411
0.25,42.04003695
0.2666667,40.00796016
0.2833333,38.00060742
0.3,36.07267542
0.3166667,34.00639137
0.3333333,32.09303181
0.35,29.8515301
0.3666667,27.83015607
0.3833333,25.77694193
0.4,23.94334727
0.4166667,22.14015932
0.4333333,20.31028318
0.45,18.59828844
0.4666667,16.98867503
0.4833333,15.51457059
0.5,14.09311115
0.5166667,13.00559055
0.5333333,12.12084544
0.55,11.20664629
0.5666667,10.43400429
0.5833333,9.83708282
0.6,9.3202055
0.6166667,8.85273447
0.6333333,8.26639497
0.65,7.87070756
0.6666667,7.4460049
0.6833333,7.00216753
0.7,6.65047713
0.7166667,6.34096307
0.7333333,6.05246792
0.75,5.80210001
0.7666667,5.62252993
0.7833333,5.56834985
0.8,5.55277168
0.8166667,5.57817182
0.8333333,5.34480733
0.85,5.38491878
0.8666667,5.29574394
0.8833333,5.31876197
0.9,5.23296869
0.9166667,5.25142383
0.9333333,5.32326529
0.95,5.33011472
0.9666667,5.38673381
0.9833333,5.44835438
1,5.43927853
1.0166667,5.65295786
1.0333333,5.76383422
1.05,5.76809451
1.0666667,5.95034049
1.0833333,6.05260439
1.1,6.21800454
1.1166667,6.37872323
1.1333333,6.54487329
1.15,6.74214172
1.1666667,7.00581944
1.1833333,7.45330992
1.2,7.59224683
1.2166667,7.82968659
1.2333333,8.26190955
1.25,8.53578462
1.2666667,8.92374808
1.2833333,9.39080498
1.3,9.54847364
1.3166667,9.94355572
1.3333333,10.2411091
1.35,10.5401907
1.3666667,10.99219172
1.3833333,11.49814651
1.4,11.95586894
1.4166667,12.70024704
1.4333333,13.46980551
1.45,14.74196962
1.4666667,15.92569529
1.4833333,17.48650831
1.5,19.16644884
1.5166667,20.96697145
1.5333333,22.94166244
1.55,24.92433837
1.5666667,27.02546579
1.5833333,29.24093874
1.6,31.52544413
1.6166667,33.67170917
1.6333333,35.90233888
1.65,37.93072988
1.6666667,40.154043
1.6833333,42.25871427
1.7,44.33995947
1.7166667,46.63731235
1.7333333,48.53827454
1.75,50.44187444
1.7666667,52.41929404
1.7833333,54.40212502
1.8,56.17599298
1.8166667,58.02470154
1.8333333,59.74197676
1.85,61.56522452
1.8666667,63.5125798
1.8833333,65.40258028
1.9,67.44510986
1.9166667,69.36893521
1.9333333,71.07869555
1.95,72.88545169
1.9666667,74.69670683
1.9833333,76.21903117
2,77.67116242
2.0166667,79.083652
2.0333333,80.40515706
2.05,81.94563118
2.0666667,83.75691301
2.0833333,85.56375593
2.1,87.19909174
2.1166667,88.52037794
2.1333333,89.75688492
2.15,91.00899599
2.1666667,92.12388958
2.1833333,93.2608706
2.2,94.43889747
2.2166667,95.57066465
2.2333333,96.5186786
2.25,97.42988805
2.2666667,98.2443362
2.2833333,98.94919354
2.3,99.44728402
2.3166667,99.92200753
2.3333333,100.468926
2.35,100.9274199
2.3666667,101.1906255
2.3833333,101.4742409
2.4,101.5534131
2.4166667,101.4622257
2.4333333,101.4719095
2.45,101.4005531
2.4666667,101.226453
2.4833333,101.1193918
2.5,100.9152393
2.5166667,100.671602
2.5333333,100.5209383
2.55,100.0111369
2.5666667,99.62699631
2.5833333,98.95079443
2.6,98.20489565
2.6166667,97.39888536
2.6333333,96.76701846
2.65,95.7929202
2.6666667,94.77966918
2.6833333,93.5356092
2.7,92.52227178
2.7166667,91.18223328
2.7333333,89.96147096
2.75,88.47999721
2.7666667,87.24102034
2.7833333,85.87214777
2.8,84.35903674
2.8166667,82.78197546
2.8333333,81.22262606
2.85,79.96448694
2.8666667,78.48122171
2.8833333,76.94100062
2.9,75.32918992
2.9166667,73.58716506
2.9333333,71.75007912
2.95,69.9870727
2.9666667,68.1159316
2.9833333,66.4682582
3,64.77030554
3.0166667,62.98248679
3.0333333,60.88518212
3.05,59.10507982
3.0666667,57.1834852
3.0833333,55.15294399
3.1,53.25545027
3.1166667,51.52177831
3.1333333,49.93533222
3.15,47.83409821
3.1666667,45.81515168
3.1833333,43.7575616
3.2,41.85601545
3.2166667,39.73839919
3.2333333,37.5572057
3.25,35.73206447
3.2666667,33.68981478
3.2833333,31.93931906
3.3,29.9929303
3.3166667,28.02275435
3.3333333,26.02262705
3.35,24.21002373
3.3666667,22.28186708
3.3833333,20.82445524
3.4,19.01314193
3.4166667,17.33053686
3.4333333,16.00594978
3.45,14.64163727
3.4666667,13.47962171
3.4833333,12.49471766
3.5,11.39167707
3.5166667,10.45628912
3.5333333,9.65581273
3.55,8.9364084
3.5666667,8.44841442
3.5833333,8.03115301
3.6,7.72818382
3.6166667,7.45141177
3.6333333,7.26768337
3.65,7.01324868
3.6666667,6.82763229
3.6833333,6.57220136
3.7,6.37238082
3.7166667,6.20889356
3.7333333,6.02127696
3.75,5.9465106
3.7666667,5.86952313
3.7833333,5.86933794
3.8,5.73831676
3.8166667,5.6604514
3.8333333,5.59720198
3.85,5.617738
3.8666667,5.6415244
3.8833333,5.70919169
3.9,5.68520919
3.9166667,5.80382093
3.9333333,5.73557975
3.95,5.77817871
3.9666667,5.75053798
3.9833333,5.84522184
4,5.90549908
4.0166667,5.96831709
4.0333333,6.0984705
4.05,6.18006191
4.0666667,6.29669254
4.0833333,6.64628562
4.1,6.51804223
4.1166667,6.77412273
4.1333333,7.09733388
4.15,7.32603975
4.1666667,7.54617573
4.1833333,7.91138793
4.2,8.11161512
4.2166667,8.46834909
4.2333333,8.83315797
4.25,9.32731073
4.2666667,9.80938659
4.2833333,10.42429297
4.3,10.97188306
4.3166667,11.73400875
4.3333333,12.57460505
4.35,13.5507504
4.3666667,14.64794605
4.3833333,16.05517593
4.4,17.56791312
4.4166667,19.18215246
4.4333333,20.91482978
4.45,23.21224054
4.4666667,25.60968042
4.4833333,27.99608733
4.5,30.56228888
4.5166667,33.17828802
4.5333333,35.53366486
4.55,37.8570399
4.5666667,39.96577676
4.5833333,41.99794083
4.6,43.71398377
4.6166667,45.50632474
4.6333333,46.98639657
4.65,48.78157214
4.6666667,50.71681136
4.6833333,52.23511358
4.7,53.8471374
4.7166667,55.50786431
4.7333333,57.2006509
4.75,58.48806486
4.7666667,59.64451207
4.7833333,60.94410038
4.8,62.48197777
4.8166667,63.99223387
4.8333333,65.55329353
4.85,67.13399493
4.8666667,68.64126742
4.8833333,70.4463374
4.9,72.13246019
4.9166667,73.77920522
4.9333333,75.59069113
4.95,77.20755652
4.9666667,78.75765837
4.9833333,80.16905308
5,81.5775485
5.0166667,83.26576814
5.0333333,84.99668806
5.05,86.7795285
5.0666667,88.26304173
5.0833333,89.48636688
5.1,90.9040205
5.1166667,92.29005698
5.1333333,93.74581053
5.15,94.8829774
5.1666667,95.90307745
5.1833333,96.90566548
5.2,97.97812956
5.2166667,98.88594536
5.2333333,99.71570433
5.25,100.4794423
5.2666667,100.9814166
5.2833333,101.3815196
5.3,101.8349414
5.3166667,102.1772162
5.3333333,102.413063
5.35,102.6420236
5.3666667,102.8824964
5.3833333,103.081456
5.4,103.2899586
5.4166667,103.3667871
5.4333333,103.4520592
5.45,103.3682346
5.4666667,103.2955806
5.4833333,103.2874506
5.5,103.099098
5.5166667,102.7894988
5.5333333,102.4550727
5.55,101.938778
5.5666667,101.4655661
5.5833333,100.8720075
5.6,100.0405678
5.6166667,99.16098693
5.6333333,98.20513469
5.65,97.26175629
5.6666667,96.08979435
5.6833333,94.84342326
5.7,93.66252485
5.7166667,92.25758532
5.7333333,90.99252636
5.75,89.83058726
5.7666667,88.72485499
5.7833333,87.26194701
5.8,85.86631788
5.8166667,84.38042806
5.8333333,82.82562379
5.85,81.47331965
5.8666667,79.96581321
5.8833333,78.47776495
5.9,76.85043608
5.9166667,75.29396206
5.9333333,73.56702065
5.95,71.88426831
5.9666667,69.99328356
5.9833333,68.08425242
6,65.87916628
6.0166667,63.89637401
6.0333333,61.99651682
6.05,60.39937127
6.0666667,58.79259541
6.0833333,57.15285612
6.1,55.43527892
6.1166667,53.83963488
6.1333333,52.26498958
6.15,50.25430747
6.1666667,48.24893984
6.1833333,46.37724516
6.2,44.25521801
6.2166667,42.3909651
6.2333333,40.59192927
6.25,38.62662107
6.2666667,36.90560986
6.2833333,35.27085998
6.3,33.8157323
6.3166667,32.06367991
6.3333333,30.25054679
6.35,28.36672207
6.3666667,26.53799061
6.3833333,24.60210579
6.4,22.98125054
6.4166667,21.35703649
6.4333333,19.92051332
6.45,18.41429863
6.4666667,16.86069766
6.4833333,15.60558615
6.5,14.41335931
6.5166667,13.45908253
6.5333333,12.59032005
6.55,11.81928048
6.5666667,11.24997846
6.5833333,10.71263043
6.6,10.25532195
6.6166667,9.97731975
6.6333333,9.77116452
6.65,9.70360149
6.6666667,9.29682848
6.6833333,9.08216625
6.7,8.93614405
6.7166667,8.80718616
6.7333333,8.75223899
6.75,8.71449072
6.7666667,8.81620758
6.7833333,8.93935137
6.8,9.12028009
6.8166667,9.28936424
6.8333333,9.37428605
6.85,9.3175208
6.8666667,9.41362539
6.8833333,9.36245375
6.9,9.29554117
6.9166667,9.32489872
6.9333333,9.35686955
6.95,9.40575349
6.9666667,9.47227199
6.9833333,9.69615065
7,9.52438044
7.0166667,9.58048774
7.0333333,9.673458
7.05,9.55067698
7.0666667,9.76831029
7.0833333,9.56289039
7.1,9.71717804
7.1166667,9.71784666
7.1333333,9.76471457
7.15,9.73622324
7.1666667,9.74327727
